analysis_id,puhk1p96r88na7s
parameter_name,Time mobile dark side
gene_accession_id,MGI:3026886
parameter_id,JAX_LDT_005_001
pvalue,0.8956611
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
