analysis_id,oa8bp3lp708q74n
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_name,NK cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
pvalue,0.8364102
mouse_strain,C57BL
