gene_symbol,Rnf114
parameter_id,MGP_MLN_076_001
pvalue,0.3760897
gene_accession_id,MGI:1933159
analysis_id,g2rqd393j8z9hnj
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
