parameter_id,JAXLA_HBD_001_001
pvalue,0.4135406
gene_symbol,Kif24
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_name,Total holepokes
analysis_id,q1mluc192hl46dq
mouse_life_stage,Early adult
