analysis_id,040x30erwnlyz6n
pvalue,0.7603601
mouse_strain,129SV
parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1920638
