parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:109585
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
pvalue,0.4759828
analysis_id,k54x3r1bkj55y41
gene_symbol,Pld1
mouse_life_stage,Early adult
