parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
pvalue,0.5586696
analysis_id,0h6y5485k68b4a9
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
