mouse_strain,129SV
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.8353274
parameter_id,JAXLA_DXA_009_001
analysis_id,76y7t366w2xpo0m
gene_symbol,Arpc2
