analysis_id,3z61t6pxt16g856
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_id,MGP_MLN_058_001
mouse_strain,C57BL
pvalue,0.4744232
gene_symbol,Mapkap1
