gene_symbol,Rgs20
gene_accession_id,MGI:1929866
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_strain,C57BL
analysis_id,83i1341sr0jc8j3
pvalue,0.9013335
mouse_life_stage,Early adult
parameter_id,MGP_BMI_006_001
