parameter_name,Neural tube closure
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
gene_symbol,Tnni1
analysis_id,b6hpm2z901279r4
pvalue,0.2487473
gene_accession_id,MGI:105073
