parameter_name,eye size
gene_accession_id,MGI:3588214
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rufy4
pvalue,0.1117736
analysis_id,24pt00c9b2nxs1u
parameter_id,ESLIM_001_001_117
