analysis_id,dq0q855oomdjqo6
parameter_name,12kHz-evoked ABR Threshold
pvalue,0.09688097
mouse_life_stage,Early adult
gene_symbol,Kif24
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_id,IMPC_ABR_006_001
