analysis_id,69e196zkvx23f6x
gene_accession_id,MGI:1914672
parameter_id,JAX_SLW_014_001
pvalue,0.298776
gene_symbol,Dhdds
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
