gene_symbol,Golm2
gene_accession_id,MGI:2443129
pvalue,0.915679
mouse_strain,C57BL
parameter_name,Fractional Shortening
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
analysis_id,25n6agc2md97whn
