Parameter_name,Forebrain
Mouse_strain,C57BL
pvalue,0.3662663
parameter_id,IMPC_GEL_028_001
Gene_accession_id,MGI:3026886
Gene_symbol,Cdin1
Mouse_life_stage,Early adult
Analysis_id,1671r3217d5z0f8
