parameter_name,Humerus
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
gene_symbol,Zcchc2
analysis_id,v1741fa7o90013b
pvalue,0.06910565
gene_accession_id,MGI:2444114
