parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
pvalue,0.2557709
mouse_strain,C57BL
gene_accession_id,MGI:1918345
analysis_id,6rik5f920j5i9q2
gene_symbol,Kif24
mouse_life_stage,Early adult
