analysis_id,b19953ag88zb075
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
parameter_name,White blood cell-count
pvalue,0.2028177
