analysis_id,hd00gpmrfr950l7
mouse_life_stage,Early adult
parameter_name,Center average speed
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
gene_symbol,Bcs1l
pvalue,0.1530952
