analysis_id,t21waq3216fh604
mouse_strain,C59BL
pvalue,0.8993675
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,Transitional 1 B cells - % of CD45+
gene_symbol,Inpp1
