parameter_name,White blood cell count
analysis_id,5071655637q5v4v
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
pvalue,0.641842
mouse_strain,C57BL
gene_symbol,Ola1
parameter_id,HMGULA_HEM_001_001
