parameter_name,Corneal opacity
pvalue,0.6927279
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:88328
mouse_strain,C57BL
analysis_id,01iucnqb03pbe94
