analysis_id,94s199573n91vj6
mouse_strain,C57BL
gene_accession_id,MGI:2651854
parameter_name,QT
parameter_id,IMPC_ECG_028_001
pvalue,0.4985424
gene_symbol,Atg4c
mouse_life_stage,Early adult
