analysis_id,07ey94t1y6hr826
mouse_life_stage,Early adult
parameter_id,MGP_MLN_009_001
mouse_strain,C57BL
gene_symbol,Tnfsf10
parameter_name,Effector Treg cells - % of Treg
pvalue,0.7961507
gene_accession_id,MGI:107414
