gene_symbol,Alkbh3
analysis_id,j7879zgs19016mr
parameter_name,Calcium
mouse_life_stage,Early adult
pvalue,0.6156265
gene_accession_id,MGI:1916363
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
