parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
analysis_id,u4grsp324377d07
pvalue,0.3824184
