parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_011_001
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_strain,129SV
analysis_id,g843272873c7f23
pvalue,0.7941115
