analysis_id,2tmk7g1d7o64ps4
mouse_life_stage,Early adult
parameter_name,Total B cells - % of CD45+
gene_accession_id,MGI:104848
parameter_id,MGP_IMM_041_001
pvalue,0.7854297
mouse_strain,C58BL
gene_symbol,Inpp1
