analysis_id,324w2g8z5k07f32
gene_accession_id,MGI:1921688
mouse_strain,C57BL
pvalue,0.3579308
parameter_name,Narrow eye opening
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
