gene_symbol,Ufc1
analysis_id,zd26zct04y18e87
pvalue,0.7768945
parameter_name,Tibia length
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
