gene_symbol,Orc2
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
pvalue,0.7062448
analysis_id,383sw0km7728svk
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
