gene_symbol,Frmpd1
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.4685807
mouse_life_stage,Late adult
analysis_id,ilw746owliz9694
