gene_symbol,Gpbp1l1
parameter_id,MGP_PBI_001_001
analysis_id,3xl3dtvz7009bry
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total T cell percentage
pvalue,0.6189958
gene_accession_id,MGI:1924360
