mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
analysis_id,3i6c0300l40rqx1
pvalue,0.915933
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
