analysis_id,1g79sp7vy1338yd
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
gene_symbol,Cd52
pvalue,0.08721157
