parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:2684980
pvalue,0.9957266
mouse_strain,C57BL
gene_symbol,MMS22L
mouse_life_stage,Early adult
analysis_id,085y66xpse573s8
parameter_name,Calcium
