analysis_id,uqg19r6e9tkija2
gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
pvalue,0.2568558
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
