parameter_name,Eosinophil cell count
mouse_strain,C57BL
gene_accession_id,MGI:1918025
analysis_id,1v57w4cksp2ok1f
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_036_001
pvalue,0.8201473
