parameter_name,Cornea
analysis_id,883lh535389vy06
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.07951211
parameter_id,IMPC_EYE_007_001
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
