analysis_id,5r2dj6r098r27rg
mouse_strain,C57BL
pvalue,0.8069968
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_name,Prepulse inhibition - PP4
gene_symbol,Snap23
