gene_symbol,Rap2b
pvalue,0.3395376
parameter_name,Thyroxine
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
analysis_id,9byqe769s07qyuk
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
