analysis_id,46po4bw1cd55nw4
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
pvalue,0.1341567
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
