analysis_id,gyfu5n2c635631s
parameter_name,Calcium
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,HMGULA_CBC_009_001
pvalue,0.8820917
mouse_life_stage,E9.5
