parameter_name,Red blood cell count
gene_accession_id,MGI:1338032
analysis_id,82cjg3828x9gtd6
mouse_life_stage,Early adult
gene_symbol,Sema6c
mouse_strain,C57BL
pvalue,0.1930434
parameter_id,IMPC_HEM_002_001
