analysis_id,r57x92f83q3s2zr
gene_symbol,Cmpk1
mouse_strain,C57BL
pvalue,0.5306574
parameter_name,Contact righting
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
parameter_id,JAXLA_CSD_077_001
