gene_symbol,Cmpk1
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
pvalue,0.9473409
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
analysis_id,xfxpq5863g259br
