parameter_id,MGP_IMM_112_001
gene_symbol,Ola1
mouse_life_stage,Early adult
parameter_name,Follicular B cells - % of CD45+
analysis_id,b548c5cg4fo590j
mouse_strain,C57BL
pvalue,0.7273354
gene_accession_id,MGI:1914309
