analysis_id,j1s7145e60s05vn
pvalue,0.5324282
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
