analysis_id,71f38wn0wz3hv3t
gene_accession_id,MGI:2446186
pvalue,0.9157854
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
