gene_symbol,Psmd14
parameter_name,Sacral processes
mouse_strain,C57BL
pvalue,0.7931371
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1913284
analysis_id,240l72tlresu3f7
