analysis_id,uh8069s6sp6q82h
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_DXA_006_001
parameter_name,Body length
gene_accession_id,MGI:2140475
pvalue,0.764203
gene_symbol,AU040320
