parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1914944
gene_symbol,Ift74
parameter_name,Heart weight
mouse_life_stage,Early adult
analysis_id,h4547h81616kbs6
pvalue,0.07256216
