analysis_id,64476rt30gwr7h2
gene_accession_id,MGI:1918025
pvalue,0.3976543
parameter_name,Alanine aminotransferase
mouse_strain,129SV
parameter_id,IMPC_CBC_013_001
gene_symbol,Zmynd8
mouse_life_stage,Early adult
