analysis_id,tq14622590748p3
parameter_name,center - distance
mouse_life_stage,Early adult
gene_symbol,Atg4c
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
pvalue,0.9505302
gene_accession_id,MGI:2651854
