analysis_id,f8y8101ebhu8517
gene_accession_id,MGI:2140475
parameter_id,M-G-P_014_001_001
gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Eye
pvalue,0.7723091
