analysis_id,v2ev4251yx7gm83
gene_accession_id,MGI:2685277
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
pvalue,0.2452802
parameter_name,Alpha beta T cell percentage
gene_symbol,Zyg11b
mouse_life_stage,Early adult
