gene_symbol,Cd52
analysis_id,x5j5lw743brqr9m
gene_accession_id,MGI:1346088
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cornea
pvalue,0.7587991
