gene_symbol,Ints7
mouse_strain,C57BL
parameter_name,Sacral processes
gene_accession_id,MGI:1924315
analysis_id,42mx6ay2n0e14s4
pvalue,0.8105814
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
