gene_symbol,Slx4ip
mouse_strain,C57BL
pvalue,0.7724194
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
analysis_id,87gm8ga52397as5
gene_accession_id,MGI:1921493
parameter_id,IMPC_ACS_037_001
