parameter_name,Gait
analysis_id,08q1u20v8871tqd
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.1639312
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,IMPC_CSD_033_001
