analysis_id,bdjy145w5658v5w
parameter_id,HMGULA_CBC_017_001
pvalue,0.9901413
gene_symbol,Abo
parameter_name,Triglycerides
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
