parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
pvalue,0.1188293
mouse_strain,C57BL
analysis_id,67898jj42683g25
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,E18.5
