parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,rh0u2fbo45f6467
gene_accession_id,MGI:2653612
pvalue,0.3545365
gene_symbol,Amigo1
